Ensembl	Gene Symbol	TPM
ENSG00000057657	PRDM1	2.84
ENSG00000057935	MTA3	19.76
ENSG00000059378	PARP12	12.15
ENSG00000059728	MXD1	4.93
ENSG00000060138	YBX3	330.34
ENSG00000060566	CREB3L3	0
ENSG00000061455	PRDM6	0.06
ENSG00000062194	GPBP1	16.37
ENSG00000062370	ZNF112	0.79
ENSG00000063438	AHRR	0.22
ENSG00000063515	GSC2	0.03
ENSG00000063587	ZNF275	4.79
ENSG00000064195	DLX3	0.16
ENSG00000064218	DMRT3	0
ENSG00000064489	BORCS8-MEF2B	30.58
ENSG00000064490	RFXANK	57.8
ENSG00000064835	POU1F1	0
ENSG00000064933	PMS1	7.05
ENSG00000064961	HMG20B	45.84
ENSG00000065029	ZNF76	11.77
ENSG00000065970	FOXJ2	4.49
ENSG00000065978	YBX1	975.02
ENSG00000066136	NFYC	50.56
ENSG00000066336	SPI1	0
ENSG00000066422	ZBTB11	6.12
ENSG00000066827	ZFAT	3.31
ENSG00000067066	SP100	26.67
ENSG00000067082	KLF6	110.4
ENSG00000067646	ZFY	0
ENSG00000067955	CBFB	32.62
ENSG00000068305	MEF2A	16.83
ENSG00000068323	TFE3	12.31
ENSG00000069011	PITX1	8.19
ENSG00000069667	RORA	2.06
ENSG00000069812	HES2	25.82
ENSG00000070444	MNT	3.67
ENSG00000070476	ZXDC	7.76
ENSG00000071564	TCF3	71.77
ENSG00000071655	MBD3	37.94
ENSG00000072310	SREBF1	64
ENSG00000072364	AFF4	41.5
ENSG00000072736	NFATC3	8.78
ENSG00000073282	TP63	127.67
ENSG00000073584	SMARCE1	39.64
ENSG00000073861	TBX21	0
ENSG00000074047	GLI2	0.01
ENSG00000074219	TEAD2	18.11
ENSG00000074657	ZNF532	34.14
ENSG00000075407	ZNF37A	7.21
ENSG00000075426	FOSL2	27.3
ENSG00000075891	PAX2	0
ENSG00000076108	BAZ2A	38.75
ENSG00000077092	RARB	0.07
ENSG00000077150	NFKB2	14.9
ENSG00000078043	PIAS2	15.47
ENSG00000078246	TULP3	14.34
ENSG00000078399	HOXA9	0.03
ENSG00000078403	MLLT10	20.38
ENSG00000078900	TP73	2.18
ENSG00000079263	SP140	0.58
ENSG00000079432	CIC	17.25
ENSG00000080298	RFX3	1.34
ENSG00000081059	TCF7	1.75
ENSG00000081189	MEF2C	0.02
ENSG00000081386	ZNF510	3.57
ENSG00000081665	ZNF506	2.08
ENSG00000082175	PGR	0
ENSG00000082641	NFE2L1	123.13
ENSG00000083307	GRHL2	12.05
ENSG00000083812	ZNF324	7.48
ENSG00000083814	ZNF671	2.4
ENSG00000083817	ZNF416	2.84
ENSG00000083828	ZNF586	4.98
ENSG00000083838	ZNF446	3.99
ENSG00000083844	ZNF264	5.12
ENSG00000084093	REST	16.27
ENSG00000084676	NCOA1	3.57
ENSG00000085274	MYNN	6.86
ENSG00000085276	MECOM	5.76
ENSG00000085644	ZNF213	0.7
ENSG00000086102	NFX1	21.18
ENSG00000087510	TFAP2C	11.25
ENSG00000087903	RFX2	7.29
ENSG00000088247	KHSRP	98.1
ENSG00000088876	ZNF343	7.01
ENSG00000088881	EBF4	0.01
ENSG00000089116	LHX5	0.15
ENSG00000089225	TBX5	0
ENSG00000089335	ZNF302	4.15
ENSG00000089486	CDIP1	50.38
ENSG00000089775	ZBTB25	4.96
ENSG00000089902	RCOR1	21.88
ENSG00000090447	TFAP4	8.38
ENSG00000090612	ZNF268	6.23
ENSG00000091010	POU4F3	0.01
ENSG00000091656	ZFHX4	0.25
ENSG00000091831	ESR1	0.24
ENSG00000092067	CEBPE	0
ENSG00000092203	TOX4	73.85
ENSG00000092607	TBX15	0.01
ENSG00000093167	LRRFIP2	40.78
ENSG00000095574	IKZF5	4.89
ENSG00000095794	CREM	13.39
ENSG00000095951	HIVEP1	13.11
ENSG00000096401	CDC5L	9.03
ENSG00000096654	ZNF184	1.49
ENSG00000099326	MZF1	7.87
ENSG00000100105	PATZ1	4.22
ENSG00000100146	SOX10	0
ENSG00000100219	XBP1	87.09
ENSG00000100281	HMGXB4	12.97
ENSG00000100426	ZBED4	5.56
ENSG00000100625	SIX4	3.78
ENSG00000100644	HIF1A	68.15
ENSG00000100811	YY1	26.72
ENSG00000100968	NFATC4	0.12
ENSG00000100987	VSX1	0
ENSG00000101057	MYBL2	11.33
ENSG00000101076	HNF4A	0.05
ENSG00000101096	NFATC2	0.01
ENSG00000101115	SALL4	0
ENSG00000101126	ADNP	16.41
ENSG00000101190	TCFL5	5.82
ENSG00000101216	GMEB2	7.38
ENSG00000101412	E2F1	9.18
ENSG00000101493	ZNF516	6.71
ENSG00000101544	ADNP2	8.08
ENSG00000101665	SMAD7	6.94
ENSG00000101883	RHOXF1	0
ENSG00000102034	ELF4	19.16
ENSG00000102038	SMARCA1	11.54
ENSG00000102145	GATA1	0
ENSG00000102349	KLF8	12.73
ENSG00000102554	KLF5	144.61
ENSG00000102804	TSC22D1	76.12
ENSG00000102870	ZNF629	4.33
ENSG00000102878	HSF4	3.23
ENSG00000102901	CENPT	31.61
ENSG00000102908	NFAT5	15.06
ENSG00000102935	ZNF423	0.01
ENSG00000102974	CTCF	17.92
ENSG00000102984	ZNF821	2.66
ENSG00000103199	ZNF500	3.52
ENSG00000103241	FOXF1	0
ENSG00000103326	CAPN15	16.81
ENSG00000103343	ZNF174	6.27
ENSG00000103449	SALL1	0.5
ENSG00000103460	TOX3	0
ENSG00000103495	MAZ	104.02
ENSG00000104064	GABPB1	18.11
ENSG00000104177	MYEF2	0.66
ENSG00000104447	TRPS1	8.54
ENSG00000104804	TULP2	0.02
ENSG00000104856	RELB	5.67
ENSG00000104903	LYL1	0.01
ENSG00000105136	ZNF419	5.59
ENSG00000105229	PIAS4	10.26
ENSG00000105261	OVOL3	0
ENSG00000105392	CRX	0
ENSG00000105419	MEIS3	2.96
ENSG00000105497	ZNF175	1.58
ENSG00000105516	DBP	0.62
ENSG00000105610	KLF1	0.04
ENSG00000105672	ETV2	0.33
ENSG00000105698	USF2	66.01
ENSG00000105708	ZNF14	1.07
ENSG00000105717	PBX4	1.95
ENSG00000105722	ERF	76.82
ENSG00000105732	ZNF574	15.03
ENSG00000105750	ZNF85	5.84
ENSG00000105821	DNAJC2	12.04
ENSG00000105856	HBP1	16.05
ENSG00000105866	SP4	1.51
ENSG00000105880	DLX5	0.06
ENSG00000105967	TFEC	0
ENSG00000105991	HOXA1	5.02
ENSG00000105996	HOXA2	1.12
ENSG00000105997	HOXA3	1.24
ENSG00000106004	HOXA5	7.62
ENSG00000106006	HOXA6	0.63
ENSG00000106031	HOXA13	0
ENSG00000106038	EVX1	0
ENSG00000106052	TAX1BP1	35.96
ENSG00000106261	ZKSCAN1	13.57
ENSG00000106331	PAX4	0.01
ENSG00000106410	NOBOX	0
ENSG00000106459	NRF1	7.91
ENSG00000106511	MEOX2	0
ENSG00000106536	POU6F2	0
ENSG00000106546	AHR	5.8
ENSG00000106571	GLI3	3.84
ENSG00000106689	LHX2	0.02
ENSG00000106852	LHX6	2.71
ENSG00000106948	AKNA	2.53
ENSG00000107175	CREB3	33.96
ENSG00000107187	LHX3	0.01
ENSG00000107249	GLIS3	0.13
ENSG00000107485	GATA3	5.33
ENSG00000107807	TLX1	0
ENSG00000107859	PITX3	0.03
ENSG00000108001	EBF3	0
ENSG00000108064	TFAM	20.99
ENSG00000108175	ZMIZ1	5.26
ENSG00000108312	UBTF	16.49
ENSG00000108509	CAMTA2	16.6
ENSG00000108511	HOXB6	0.44
ENSG00000108788	MLX	43.8
ENSG00000108813	DLX4	0.12
ENSG00000108924	HLF	0.14
ENSG00000109101	FOXN1	0
ENSG00000109132	PHOX2B	0
ENSG00000109320	NFKB1	22.65
ENSG00000109381	ELF2	14.3
ENSG00000109685	NSD2	23.28
ENSG00000109705	NKX3-2	0.03
ENSG00000109787	KLF3	10.44
ENSG00000109851	DBX1	0
ENSG00000109906	ZBTB16	0.43
ENSG00000110693	SOX6	0.86
ENSG00000110851	PRDM4	16.45
ENSG00000110925	CSRNP2	11.78
ENSG00000111046	MYF6	0
ENSG00000111049	MYF5	0
ENSG00000111087	GLI1	0.81
ENSG00000111145	ELK3	42.19
ENSG00000111206	FOXM1	34.21
ENSG00000111249	CUX2	0
ENSG00000111269	CREBL2	8.06
ENSG00000111424	VDR	93.68
ENSG00000111704	NANOG	0.03
ENSG00000111783	RFX4	0
ENSG00000112033	PPARD	19.19
ENSG00000112041	TULP1	0.01
ENSG00000112182	BACH2	0.47
ENSG00000112238	PRDM13	0
ENSG00000112242	E2F3	8.41
ENSG00000112246	SIM1	0
ENSG00000112333	NR2E1	0
ENSG00000112365	ZBTB24	3.04
ENSG00000112561	TFEB	9.68
ENSG00000112658	SRF	29.38
ENSG00000112837	TBX18	0.05
ENSG00000113196	HAND1	0
ENSG00000113387	SUB1	59.8
ENSG00000113430	IRX4	18.14
ENSG00000113580	NR3C1	24
ENSG00000113658	SMAD5	54.8
ENSG00000113716	HMGXB3	31.53
ENSG00000113722	CDX1	0
ENSG00000113916	BCL6	3.43
ENSG00000114126	TFDP2	23.8
ENSG00000114315	HES1	20.17
ENSG00000114439	BBX	33.99
ENSG00000114853	ZBTB47	6.22
ENSG00000114861	FOXP1	39.04
ENSG00000115112	TFCP2L1	55
ENSG00000115163	CENPA	19.01
ENSG00000115297	TLX2	0.04
ENSG00000115355	CCDC88A	15.15
ENSG00000115415	STAT1	28.48
ENSG00000115507	OTX1	0.31
ENSG00000115568	ZNF142	11.98
ENSG00000115738	ID2	13.04
ENSG00000115816	CEBPZ	13.84
ENSG00000115844	DLX2	0.14
ENSG00000115956	PLEK	0.06
ENSG00000115966	ATF2	21.31
ENSG00000116016	EPAS1	161.22
ENSG00000116017	ARID3A	6.03
ENSG00000116035	VAX2	0
ENSG00000116044	NFE2L2	94.4
ENSG00000116132	PRRX1	0.16
ENSG00000116560	SFPQ	62.18
ENSG00000116580	GON4L	13.04
ENSG00000116604	MEF2D	10.02
ENSG00000116731	PRDM2	6.05
ENSG00000116793	PHTF1	7.18
ENSG00000116809	ZBTB17	22.43
ENSG00000116819	TFAP2E	0.06
ENSG00000116833	NR5A2	0.01
ENSG00000116990	MYCL	2.07
ENSG00000117000	RLF	5.63
ENSG00000117010	ZNF684	1.83
ENSG00000117036	ETV3	10.09
ENSG00000117318	ID3	28.15
ENSG00000117475	BLZF1	16.21
ENSG00000117595	IRF6	184.66
ENSG00000117625	RCOR3	14.3
ENSG00000117707	PROX1	0.08
ENSG00000117713	ARID1A	14.05
ENSG00000118156	ZNF541	0
ENSG00000118217	ATF6	10.86
ENSG00000118260	CREB1	26.15
ENSG00000118263	KLF7	29.12
ENSG00000118495	PLAGL1	21.06
ENSG00000118513	MYB	0.16
ENSG00000118526	TCF21	0
ENSG00000118620	ZNF430	13.7
ENSG00000118689	FOXO3	20.69
ENSG00000118707	TGIF2	7.27
ENSG00000118922	KLF12	7.56
ENSG00000119042	SATB2	0.93
ENSG00000119138	KLF9	2.88
ENSG00000119508	NR4A3	0.03
ENSG00000119547	ONECUT2	0.01
ENSG00000119574	ZBTB45	7.59
ENSG00000119608	PROX2	0
ENSG00000119614	VSX2	0
ENSG00000119715	ESRRB	0.01
ENSG00000119725	ZNF410	30.87
ENSG00000119866	BCL11A	1.52
ENSG00000119919	NKX2-3	0
ENSG00000119950	MXI1	9.28
ENSG00000120068	HOXB8	0
ENSG00000120075	HOXB5	0.01
ENSG00000120093	HOXB3	2.28
ENSG00000120094	HOXB1	0
ENSG00000120149	MSX2	3.5
ENSG00000120669	SOHLH2	0.01
ENSG00000120690	ELF1	29.58
ENSG00000120693	SMAD9	0.14
ENSG00000120738	EGR1	9.44
ENSG00000120784	ZFP30	1.55
ENSG00000120798	NR2C1	9.69
ENSG00000120837	NFYB	8.11
ENSG00000120963	ZNF706	53.25
ENSG00000121068	TBX2	0.01
ENSG00000121075	TBX4	0.03
ENSG00000121297	TSHZ3	3.64
ENSG00000121406	ZNF549	1.39
ENSG00000121413	ZSCAN18	5.24
ENSG00000121417	ZNF211	5.72
ENSG00000121454	LHX4	0
ENSG00000121864	ZNF639	9.94
ENSG00000121903	ZSCAN20	1.17
ENSG00000122034	GTF3A	72.16
ENSG00000122145	TBX22	0
ENSG00000122180	MYOG	0
ENSG00000122386	ZNF205	8.71
ENSG00000122482	ZNF644	9.76
ENSG00000122515	ZMIZ2	5.34
ENSG00000122592	HOXA7	3.43
ENSG00000122691	TWIST1	1.46
ENSG00000122778	KIAA1549	2.13
ENSG00000122859	NEUROG3	0
ENSG00000122877	EGR2	0.14
ENSG00000123095	BHLHE41	21.85
ENSG00000123268	ATF1	26.33
ENSG00000123307	NEUROD4	0
ENSG00000123358	NR4A1	0.4
ENSG00000123364	HOXC13	8.1
ENSG00000123388	HOXC11	0.19
ENSG00000123405	NFE2	0.48
ENSG00000123407	HOXC12	0.04
ENSG00000123411	IKZF4	1.65
ENSG00000123576	ESX1	0.02
ENSG00000123636	BAZ2B	11.52
ENSG00000123685	BATF3	0.15
ENSG00000123933	MXD4	15.84
ENSG00000124092	CTCFL	0
ENSG00000124191	TOX2	0.86
ENSG00000124201	ZNFX1	5.57
ENSG00000124203	ZNF831	0
ENSG00000124216	SNAI1	0.02
ENSG00000124232	RBPJL	0
ENSG00000124440	HIF3A	0.04
ENSG00000124444	ZNF576	14.11
ENSG00000124459	ZNF45	5.64
ENSG00000124496	TRERF1	3.3
ENSG00000124613	ZNF391	1.61
ENSG00000124664	SPDEF	0
ENSG00000124766	SOX4	5.53
ENSG00000124782	RREB1	3.29
ENSG00000124813	RUNX2	0.83
ENSG00000124827	GCM2	0
ENSG00000124831	LRRFIP1	63.9
ENSG00000124920	MYRF	0.14
ENSG00000125285	SOX21	0
ENSG00000125347	IRF1	7.95
ENSG00000125398	SOX9	28.07
ENSG00000125482	TTF1	9.13
ENSG00000125492	BARHL1	0
ENSG00000125520	SLC2A4RG	31.82
ENSG00000125533	BHLHE23	0
ENSG00000125618	PAX8	0.7
ENSG00000125740	FOSB	2.31
ENSG00000125798	FOXA2	0.93
ENSG00000125812	GZF1	10.32
ENSG00000125813	PAX1	0
ENSG00000125816	NKX2-4	0
ENSG00000125820	NKX2-2	0
ENSG00000125826	RBCK1	60.72
ENSG00000125846	ZNF133	11.09
ENSG00000125850	OVOL2	5.47
ENSG00000125878	TCF15	0
ENSG00000125945	ZNF436	5.58
ENSG00000125952	MAX	62.71
ENSG00000125968	ID1	183.04
ENSG00000126003	PLAGL2	3.28
ENSG00000126351	THRA	8.9
ENSG00000126368	NR1D1	7.04
ENSG00000126456	IRF3	60.21
ENSG00000126561	STAT5A	1.08
ENSG00000126603	GLIS2	3.18
ENSG00000126733	DACH2	0.04
ENSG00000126746	ZNF384	36.32
ENSG00000126767	ELK1	20.06
ENSG00000126778	SIX1	0.22
ENSG00000126804	ZBTB1	13.95
ENSG00000127081	ZNF484	1.72
ENSG00000127124	HIVEP3	5.85
ENSG00000127152	BCL11B	1.79
ENSG00000127337	YEATS4	15.05
ENSG00000127528	KLF2	0.13
ENSG00000127903	ZNF835	0
ENSG00000128000	ZNF780B	2.14
ENSG00000128272	ATF4	803.99
ENSG00000128573	FOXP2	0
ENSG00000128604	IRF5	2.51
ENSG00000128610	FEZF1	0
ENSG00000128645	HOXD1	0.01
ENSG00000128652	HOXD3	0
ENSG00000128709	HOXD9	0
ENSG00000128710	HOXD10	0
ENSG00000128713	HOXD11	0
ENSG00000128714	HOXD13	0
ENSG00000129028	THAP10	2.25
ENSG00000129071	MBD4	18.46
ENSG00000129152	MYOD1	0
ENSG00000129173	E2F8	2.74
ENSG00000129194	SOX15	44.13
ENSG00000129514	FOXA1	0.08
ENSG00000129534	MIS18BP1	10.16
ENSG00000129535	NRL	0.56
ENSG00000129654	FOXJ1	0
ENSG00000129911	KLF16	10.62
ENSG00000130182	ZSCAN10	0
ENSG00000130338	TULP4	17.41
ENSG00000130522	JUND	26.73
ENSG00000130544	ZNF557	2.01
ENSG00000130584	ZBTB46	0.11
ENSG00000130675	MNX1	0.1
ENSG00000130684	ZNF337	8.66
ENSG00000130700	GATA5	0
ENSG00000130711	PRDM12	0.01
ENSG00000130751	NPAS1	0.34
ENSG00000130803	ZNF317	15.87
ENSG00000130818	ZNF426	4.27
ENSG00000130844	ZNF331	3.27
ENSG00000130856	ZNF236	2.73
ENSG00000130940	CASZ1	3.84
ENSG00000131061	ZNF341	2.57
ENSG00000131115	ZNF227	3.79
ENSG00000131127	ZNF141	2.09
ENSG00000131196	NFATC1	0.53
ENSG00000131264	CDX4	0
ENSG00000131408	NR1H2	29.71
ENSG00000131668	BARX1	0.06
ENSG00000131721	RHOXF2	0
ENSG00000131759	RARA	6.16
ENSG00000131788	PIAS3	36
ENSG00000131845	ZNF304	4.92
ENSG00000131848	ZSCAN5A	7.02
ENSG00000131849	ZNF132	1.29
ENSG00000131910	NR0B2	0
ENSG00000131914	LIN28A	0.02
ENSG00000131931	THAP1	6.32
ENSG00000132005	RFX1	1.06
ENSG00000132010	ZNF20	1.83
ENSG00000132024	CC2D1A	18.65
ENSG00000132170	PPARG	0.39
ENSG00000132604	TERF2	12.87
ENSG00000132846	ZBED3	0.63
ENSG00000133250	ZNF414	6.29
ENSG00000133740	E2F5	4.71
ENSG00000133794	ARNTL	14.1
ENSG00000133937	GSC	0.04
ENSG00000134046	MBD2	33.4
ENSG00000134107	BHLHE40	36.24
ENSG00000134138	MEIS2	7.42
ENSG00000134317	GRHL1	1.62
ENSG00000134323	MYCN	0
ENSG00000134438	RAX	0
ENSG00000134532	SOX5	0
ENSG00000134595	SOX3	0
ENSG00000134852	CLOCK	18.74
ENSG00000134954	ETS1	36.2
ENSG00000135100	HNF1A	0
ENSG00000135111	TBX3	11.84
ENSG00000135164	DMTF1	22.3
ENSG00000135373	EHF	5.75
ENSG00000135374	ELF5	0
ENSG00000135457	TFCP2	13.36
ENSG00000135547	HEY2	0
ENSG00000135625	EGR4	0.02
ENSG00000135638	EMX1	0
ENSG00000135899	SP110	9.95
ENSG00000135903	PAX3	0
ENSG00000136169	SETDB2	1.94
ENSG00000136327	NKX2-8	0.04
ENSG00000136352	NKX2-1	0
ENSG00000136367	ZFHX2	0.05
ENSG00000136451	VEZF1	15.68
ENSG00000136535	TBR1	0
ENSG00000136574	GATA4	0
ENSG00000136630	HLX	0.11
ENSG00000136770	DNAJC1	16.19
ENSG00000136826	KLF4	8.98
ENSG00000136866	ZFP37	0.38
ENSG00000136870	ZNF189	2.54
ENSG00000136931	NR5A1	0
ENSG00000136936	XPA	1.22
ENSG00000136944	LMX1B	4.72
ENSG00000136997	MYC	192.25
ENSG00000137090	DMRT1	0
ENSG00000137166	FOXP4	5.05
ENSG00000137185	ZSCAN9	6.46
ENSG00000137203	TFAP2A	17.08
ENSG00000137265	IRF4	0.01
ENSG00000137270	GCM1	0
ENSG00000137273	FOXF2	0.13
ENSG00000137309	HMGA1	134.5
ENSG00000137310	TCF19	23.07
ENSG00000137492	THAP12	18.64
ENSG00000137504	CREBZF	7.87
ENSG00000137709	POU2F3	0.15
ENSG00000137834	SMAD6	0.1
ENSG00000137871	ZNF280D	7.47
ENSG00000138073	PREB	61.77
ENSG00000138083	SIX3	0
ENSG00000138136	LBX1	0
ENSG00000138375	SMARCAL1	21.86
ENSG00000138378	STAT4	1.45
ENSG00000138380	CARF	2.92
ENSG00000138738	PRDM5	2.28
ENSG00000138795	LEF1	0.47
ENSG00000139083	ETV6	5.6
ENSG00000139154	AEBP2	6.35
ENSG00000139352	ASCL1	0
ENSG00000139445	FOXN4	0
ENSG00000139515	PDX1	0.01
ENSG00000139613	SMARCC2	28.17
ENSG00000139651	ZNF740	5.26
ENSG00000139800	ZIC5	0
ENSG00000140009	ESR2	0.05
ENSG00000140044	JDP2	8.47
ENSG00000140262	TCF12	42.51
ENSG00000140265	ZSCAN29	4.33
ENSG00000140382	HMG20A	20.13
ENSG00000140548	ZNF710	2.53
ENSG00000140836	ZFHX3	1.31
ENSG00000140968	IRF8	0
ENSG00000140987	ZSCAN32	9.81
ENSG00000141002	TCF25	90.02
ENSG00000141027	NCOR1	53.14
ENSG00000141040	ZNF287	3.89
ENSG00000141052	MYOCD	0
ENSG00000141448	GATA6	0.56
ENSG00000141510	TP53	52.91
ENSG00000141568	FOXK2	32.88
ENSG00000141579	ZNF750	0.2
ENSG00000141644	MBD1	74.14
ENSG00000141646	SMAD4	53.7
ENSG00000141905	NFIC	7.96
ENSG00000141946	ZIM3	0
ENSG00000141956	PRDM15	5.16
ENSG00000142025	DMRTC2	0
ENSG00000142065	ZFP14	0.22
ENSG00000142409	ZNF787	6
ENSG00000142528	ZNF473	5.02
ENSG00000142556	ZNF614	4.19
ENSG00000142599	RERE	1.83
ENSG00000142611	PRDM16	0.2
ENSG00000142700	DMRTA2	0
ENSG00000143006	DMRTB1	0
ENSG00000143032	BARHL2	0
ENSG00000143067	ZNF697	1.6
ENSG00000143171	RXRG	0
ENSG00000143178	TBX19	0.51
ENSG00000143190	POU2F1	6.59
ENSG00000143194	MAEL	0
ENSG00000143257	NR1I3	0
ENSG00000143355	LHX9	0
ENSG00000143365	RORC	0.08
ENSG00000143373	ZNF687	10.26
ENSG00000143379	SETDB1	18.7
ENSG00000143390	RFX5	25.69
ENSG00000143437	ARNT	16.17
ENSG00000143458	GABPB2	5.96
ENSG00000143578	CREB3L4	9.78
ENSG00000143614	GATAD2B	5.7
ENSG00000143842	SOX13	11.77
ENSG00000143867	OSR1	28.24
ENSG00000143995	MEIS1	1.75
ENSG00000144026	ZNF514	3.92
ENSG00000144218	AFF3	0.01
ENSG00000144331	ZNF385B	0.02
ENSG00000144355	DLX1	0.46
ENSG00000144485	HES6	1.85
ENSG00000144655	CSRNP1	7.5
ENSG00000144747	TMF1	10.74
ENSG00000144792	ZNF660	0.01
ENSG00000144852	NR1I2	0
ENSG00000145220	LYAR	14.36
ENSG00000145908	ZNF300	2.64
ENSG00000146587	RBAK	1.87
ENSG00000146592	CREB5	6.66
ENSG00000146618	FERD3L	0
ENSG00000146676	PURB	3.63
ENSG00000146757	ZNF92	1.51
ENSG00000147117	ZNF157	0.11
ENSG00000147118	ZNF182	1.06
ENSG00000147124	ZNF41	3.12
ENSG00000147180	ZNF711	0.02
ENSG00000147421	HMBOX1	9.82
ENSG00000147488	ST18	0.01
ENSG00000147596	PRDM14	0.01
ENSG00000147601	TERF1	9.79
ENSG00000147789	ZNF7	13.51
ENSG00000147862	NFIB	29.44
ENSG00000148143	ZNF462	8.11
ENSG00000148200	NR6A1	0.68
ENSG00000148337	CIZ1	22.57
ENSG00000148513	ANKRD30A	0
ENSG00000148516	ZEB1	0.18
ENSG00000148704	VAX1	0
ENSG00000148737	TCF7L2	2.33
ENSG00000148826	NKX6-2	0
ENSG00000149050	ZNF214	1.37
ENSG00000149054	ZNF215	2.68
ENSG00000149136	SSRP1	140.88
ENSG00000149480	MTA2	34.95
ENSG00000149922	TBX6	0.04
ENSG00000149948	HMGA2	36.59
ENSG00000150051	MKX	0.01
ENSG00000150347	ARID5B	3.47
ENSG00000150907	FOXO1	2
ENSG00000151090	THRB	3.75
ENSG00000151322	NPAS3	0.01
ENSG00000151379	MSGN1	0
ENSG00000151500	THYN1	38.14
ENSG00000151612	ZNF827	8.83
ENSG00000151615	POU4F2	0
ENSG00000151623	NR3C2	0.03
ENSG00000151650	VENTX	0.01
ENSG00000151702	FLI1	6.31
ENSG00000152192	POU4F1	0
ENSG00000152217	SETBP1	6.6
ENSG00000152284	TCF7L1	2.72
ENSG00000152433	ZNF547	1.57
ENSG00000152439	ZNF773	4.69
ENSG00000152443	ZNF776	2.5
ENSG00000152454	ZNF256	1.88
ENSG00000152467	ZSCAN1	0
ENSG00000152475	ZNF837	0.58
ENSG00000152518	ZFP36L2	31.7
ENSG00000152784	PRDM8	3.38
ENSG00000152804	HHEX	0.14
ENSG00000152926	ZNF117	0.44
ENSG00000152977	ZIC1	0
ENSG00000153048	CARHSP1	57.09
ENSG00000153207	AHCTF1	23
ENSG00000153234	NR4A2	0.23
ENSG00000153266	FEZF2	0
ENSG00000153560	UBP1	56.18
ENSG00000153779	TGIF2LX	0
ENSG00000153814	JAZF1	2.14
ENSG00000153879	CEBPG	16.71
ENSG00000153896	ZNF599	3.21
ENSG00000154655	L3MBTL4	0.02
ENSG00000154727	GABPA	5.87
ENSG00000154957	ZNF18	3.34
ENSG00000155090	KLF10	35.76
ENSG00000155545	MIER3	4.09
ENSG00000155592	ZKSCAN2	1.27
ENSG00000155966	AFF2	0.12
ENSG00000156030	ELMSAN1	17.96
ENSG00000156127	BATF	0
ENSG00000156150	ALX3	0
ENSG00000156273	BACH1	12.26
ENSG00000156853	ZNF689	4.16
ENSG00000156925	ZIC3	0
ENSG00000157259	GATAD1	12.88
ENSG00000157429	ZNF19	0.82
ENSG00000157514	TSC22D3	44.99
ENSG00000157554	ERG	0.24
ENSG00000157557	ETS2	19.36
ENSG00000157613	CREB3L1	0
ENSG00000157657	ZNF618	7.07
ENSG00000158055	GRHL3	3.19
ENSG00000158691	ZSCAN12	1.66
ENSG00000158711	ELK4	4.42
ENSG00000158773	USF1	17.58
ENSG00000158805	ZNF276	8.78
ENSG00000159086	PAXBP1	6.48
ENSG00000159140	SON	48
ENSG00000159184	HOXB13	0.01
ENSG00000159216	RUNX1	40.78
ENSG00000159263	SIM2	0
ENSG00000159387	IRX6	0.07
